2025-03-08T13:00:00.054 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:00.055 +0530 [V]  - Music active, INFO
2025-03-08T13:00:01.055 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:01.056 +0530 [V]  - Music active, INFO
2025-03-08T13:00:02.056 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:02.057 +0530 [V]  - Music active, INFO
2025-03-08T13:00:03.057 +0530 [V]  - Music active, INFO
2025-03-08T13:00:03.056 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:04.057 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:04.058 +0530 [V]  - Music active, INFO
2025-03-08T13:00:05.058 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:05.059 +0530 [V]  - Music active, INFO
2025-03-08T13:00:06.059 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:06.060 +0530 [V]  - Music active, INFO
2025-03-08T13:00:07.060 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:07.060 +0530 [V]  - Music active, INFO
2025-03-08T13:00:08.059 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:08.060 +0530 [V]  - Music active, INFO
2025-03-08T13:00:09.061 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:09.062 +0530 [V]  - Music active, INFO
2025-03-08T13:00:10.061 +0530 [V]  - Music active, INFO
2025-03-08T13:00:10.061 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:11.061 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:11.063 +0530 [V]  - Music active, INFO
2025-03-08T13:00:12.061 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:12.061 +0530 [V]  - Music active, INFO
2025-03-08T13:00:13.063 +0530 [V]  - Music Controller onPlaybackStateChanged state.state=3, INFO
2025-03-08T13:00:13.064 +0530 [V]  - Music active, INFO
