2025-03-08T14:03:05.317 +0530 [V]  - lastNotificationReceivedTime = 1741422785316, INFO
2025-03-08T14:03:05.319 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:05.323 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:05.326 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:05.326 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:05.329 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:05.330 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:05.877 +0530 [V]  - lastNotificationReceivedTime = 1741422785875, INFO
2025-03-08T14:03:05.877 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:05.880 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:05.885 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:05.887 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:05.890 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:05.891 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:06.325 +0530 [V]  - lastNotificationReceivedTime = 1741422786324, INFO
2025-03-08T14:03:06.333 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:06.337 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:06.338 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:06.338 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:06.342 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:06.341 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:06.552 +0530 [V]  - lastNotificationReceivedTime = 1741422786551, INFO
2025-03-08T14:03:06.553 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:06.557 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:06.559 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:06.559 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:06.564 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:06.565 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:07.015 +0530 [V]  - lastNotificationReceivedTime = 1741422787014, INFO
2025-03-08T14:03:07.017 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:07.020 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:07.021 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:07.022 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:07.025 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:07.026 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:07.525 +0530 [V]  - lastNotificationReceivedTime = 1741422787525, INFO
2025-03-08T14:03:07.527 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:07.530 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:07.531 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:07.532 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:07.536 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:07.535 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:08.363 +0530 [V]  - lastNotificationReceivedTime = 1741422788362, INFO
2025-03-08T14:03:08.364 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:08.367 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:08.368 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:08.369 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:08.372 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:08.372 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:09.357 +0530 [V]  - lastNotificationReceivedTime = 1741422789357, INFO
2025-03-08T14:03:09.361 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:09.367 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:09.369 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:03:09.370 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:03:09.373 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:03:09.373 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:03:10.341 +0530 [V]  - lastNotificationReceivedTime = 1741422790341, INFO
2025-03-08T14:03:10.344 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:03:10.349 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:03:10.351 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
